policy,obs_frac,t_target,query_target_N_a,query_target_N_b,scale_gap,n_shared_configs,pred_pairwise_rho,pred_pairwise_tau,true_pairwise_rho,true_pairwise_tau
all_lower_only,0.1,0.3,77124608,610488320,7.915610021641861,7,0.5,0.33333333333333337,0.0,0.04761904761904762
all_lower_only,0.1,0.3,134561280,287183360,2.1342198885147345,9,0.9333333333333332,0.8333333333333334,0.9666666666666667,0.8888888888888888
all_lower_only,0.1,0.3,134561280,610488320,4.536879554058939,7,0.39285714285714296,0.23809523809523814,0.14285714285714288,0.14285714285714288
all_lower_only,0.1,0.3,287183360,610488320,2.1257788752105973,7,0.5,0.33333333333333337,0.10714285714285716,0.14285714285714288
all_lower_only,0.1,0.4,77124608,134561280,1.7447256263526163,9,0.9333333333333332,0.8333333333333334,0.9666666666666667,0.8888888888888888
all_lower_only,0.1,0.4,77124608,287183360,3.7236281317630815,15,0.6642857142857141,0.48571428571428577,0.7642857142857141,0.580952380952381
all_lower_only,0.1,0.4,77124608,610488320,7.915610021641861,7,0.5,0.33333333333333337,-0.03571428571428572,0.14285714285714288
all_lower_only,0.1,0.4,134561280,287183360,2.1342198885147345,9,0.9333333333333332,0.8333333333333334,0.9333333333333332,0.8333333333333334
all_lower_only,0.1,0.4,134561280,610488320,4.536879554058939,7,0.5,0.33333333333333337,0.10714285714285716,0.14285714285714288
all_lower_only,0.1,0.4,287183360,610488320,2.1257788752105973,7,0.39285714285714296,0.23809523809523814,-0.07142857142857144,0.04761904761904762
all_lower_only,0.1,0.5,77124608,134561280,1.7447256263526163,9,0.9166666666666666,0.7777777777777778,1.0,1.0
all_lower_only,0.1,0.5,77124608,287183360,3.7236281317630815,15,0.7178571428571427,0.5238095238095238,0.7642857142857141,0.580952380952381
all_lower_only,0.1,0.5,77124608,610488320,7.915610021641861,7,0.6785714285714287,0.4285714285714286,-0.03571428571428572,0.14285714285714288
all_lower_only,0.1,0.5,134561280,287183360,2.1342198885147345,9,0.9500000000000001,0.8888888888888888,0.9833333333333333,0.9444444444444445
all_lower_only,0.1,0.5,134561280,610488320,4.536879554058939,7,0.5,0.33333333333333337,-0.03571428571428572,0.14285714285714288
all_lower_only,0.1,0.5,287183360,610488320,2.1257788752105973,7,0.39285714285714296,0.23809523809523814,-0.07142857142857144,0.04761904761904762
all_lower_only,0.1,0.6,77124608,134561280,1.7447256263526163,9,0.9166666666666666,0.7777777777777778,1.0,1.0
all_lower_only,0.1,0.6,77124608,287183360,3.7236281317630815,15,0.7357142857142855,0.5428571428571429,0.7642857142857141,0.580952380952381
all_lower_only,0.1,0.6,77124608,610488320,7.915610021641861,7,0.6785714285714287,0.4285714285714286,0.4642857142857144,0.5238095238095238
all_lower_only,0.1,0.6,134561280,287183360,2.1342198885147345,9,0.9833333333333333,0.9444444444444445,0.9833333333333333,0.9444444444444445
all_lower_only,0.1,0.6,134561280,610488320,4.536879554058939,7,0.5,0.33333333333333337,0.4642857142857144,0.5238095238095238
all_lower_only,0.1,0.6,287183360,610488320,2.1257788752105973,7,0.39285714285714296,0.23809523809523814,0.42857142857142866,0.4285714285714286
all_lower_only,0.1,0.7,77124608,134561280,1.7447256263526163,9,0.9166666666666666,0.7777777777777778,0.9833333333333333,0.9444444444444445
all_lower_only,0.1,0.7,77124608,287183360,3.7236281317630815,15,0.7035714285714285,0.5047619047619049,0.7678571428571428,0.6000000000000001
all_lower_only,0.1,0.7,77124608,610488320,7.915610021641861,7,0.7142857142857144,0.5238095238095238,0.42857142857142866,0.4285714285714286
all_lower_only,0.1,0.7,134561280,287183360,2.1342198885147345,9,0.9500000000000001,0.8888888888888888,0.9833333333333333,0.9444444444444445
all_lower_only,0.1,0.7,134561280,610488320,4.536879554058939,7,0.5714285714285715,0.4285714285714286,0.4642857142857144,0.5238095238095238
all_lower_only,0.1,0.7,287183360,610488320,2.1257788752105973,7,0.28571428571428575,0.23809523809523814,0.42857142857142866,0.4285714285714286
all_lower_only,0.1,0.8,77124608,134561280,1.7447256263526163,9,0.9166666666666666,0.7777777777777778,0.9833333333333333,0.9444444444444445
all_lower_only,0.1,0.8,77124608,287183360,3.7236281317630815,15,0.7321428571428571,0.5047619047619049,0.7678571428571428,0.6000000000000001
all_lower_only,0.1,0.8,77124608,610488320,7.915610021641861,7,0.7142857142857144,0.5238095238095238,0.42857142857142866,0.4285714285714286
all_lower_only,0.1,0.8,134561280,287183360,2.1342198885147345,9,0.9333333333333332,0.8333333333333334,0.9833333333333333,0.9444444444444445
all_lower_only,0.1,0.8,134561280,610488320,4.536879554058939,7,0.5714285714285715,0.4285714285714286,0.4642857142857144,0.5238095238095238
all_lower_only,0.1,0.8,287183360,610488320,2.1257788752105973,7,0.10714285714285716,0.14285714285714288,0.42857142857142866,0.4285714285714286
all_lower_only,0.1,0.9,77124608,134561280,1.7447256263526163,9,0.9,0.7222222222222222,1.0,1.0
all_lower_only,0.1,0.9,77124608,287183360,3.7236281317630815,15,0.7249999999999999,0.5047619047619049,0.7607142857142856,0.6000000000000001
all_lower_only,0.1,0.9,77124608,610488320,7.915610021641861,7,0.7857142857142859,0.6190476190476191,0.9642857142857145,0.9047619047619049
all_lower_only,0.1,0.9,134561280,287183360,2.1342198885147345,9,0.9166666666666666,0.7777777777777778,1.0,1.0
all_lower_only,0.1,0.9,134561280,610488320,4.536879554058939,7,0.5714285714285715,0.4285714285714286,0.9642857142857145,0.9047619047619049
all_lower_only,0.1,0.9,287183360,610488320,2.1257788752105973,7,0.03571428571428572,0.04761904761904762,0.9642857142857145,0.9047619047619049
all_lower_only,0.1,1.0,77124608,134561280,1.7447256263526163,9,0.7833333333333333,0.611111111111111,1.0,1.0
all_lower_only,0.1,1.0,77124608,287183360,3.7236281317630815,15,0.6785714285714285,0.4666666666666667,0.7785714285714285,0.6000000000000001
all_lower_only,0.1,1.0,77124608,610488320,7.915610021641861,7,0.7857142857142859,0.6190476190476191,0.9285714285714288,0.8095238095238096
all_lower_only,0.1,1.0,134561280,287183360,2.1342198885147345,9,0.9333333333333332,0.8333333333333334,0.9500000000000001,0.8888888888888888
all_lower_only,0.1,1.0,134561280,610488320,4.536879554058939,7,0.5,0.33333333333333337,0.9285714285714288,0.8095238095238096
all_lower_only,0.1,1.0,287183360,610488320,2.1257788752105973,7,0.03571428571428572,0.04761904761904762,0.9285714285714288,0.8095238095238096
all_lower_only,0.2,0.3,77124608,134561280,1.7447256263526163,9,0.9666666666666667,0.8888888888888888,0.9833333333333333,0.9444444444444445
all_lower_only,0.2,0.3,77124608,287183360,3.7236281317630815,15,0.7357142857142855,0.5238095238095238,0.7607142857142856,0.561904761904762
all_lower_only,0.2,0.3,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,0.0,0.04761904761904762
all_lower_only,0.2,0.3,134561280,287183360,2.1342198885147345,9,0.9166666666666666,0.8333333333333334,0.9666666666666667,0.8888888888888888
all_lower_only,0.2,0.3,134561280,610488320,4.536879554058939,7,-0.03571428571428572,-0.04761904761904762,0.14285714285714288,0.14285714285714288
all_lower_only,0.2,0.3,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,0.10714285714285716,0.14285714285714288
all_lower_only,0.2,0.4,77124608,134561280,1.7447256263526163,9,0.9,0.7777777777777778,0.9666666666666667,0.8888888888888888
all_lower_only,0.2,0.4,77124608,287183360,3.7236281317630815,15,0.7785714285714285,0.580952380952381,0.7642857142857141,0.580952380952381
all_lower_only,0.2,0.4,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,-0.03571428571428572,0.14285714285714288
all_lower_only,0.2,0.4,134561280,287183360,2.1342198885147345,9,0.9166666666666666,0.8333333333333334,0.9333333333333332,0.8333333333333334
all_lower_only,0.2,0.4,134561280,610488320,4.536879554058939,7,-0.03571428571428572,-0.04761904761904762,0.10714285714285716,0.14285714285714288
all_lower_only,0.2,0.4,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,-0.07142857142857144,0.04761904761904762
all_lower_only,0.2,0.5,77124608,134561280,1.7447256263526163,9,0.9166666666666666,0.7777777777777778,1.0,1.0
all_lower_only,0.2,0.5,77124608,287183360,3.7236281317630815,15,0.7964285714285713,0.561904761904762,0.7642857142857141,0.580952380952381
all_lower_only,0.2,0.5,77124608,610488320,7.915610021641861,7,0.1785714285714286,0.14285714285714288,-0.03571428571428572,0.14285714285714288
all_lower_only,0.2,0.5,134561280,287183360,2.1342198885147345,9,1.0,1.0,0.9833333333333333,0.9444444444444445
all_lower_only,0.2,0.5,134561280,610488320,4.536879554058939,7,0.07142857142857144,0.04761904761904762,-0.03571428571428572,0.14285714285714288
all_lower_only,0.2,0.5,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,-0.07142857142857144,0.04761904761904762
all_lower_only,0.2,0.6,77124608,134561280,1.7447256263526163,9,0.9,0.7222222222222222,1.0,1.0
all_lower_only,0.2,0.6,77124608,287183360,3.7236281317630815,15,0.8285714285714284,0.6000000000000001,0.7642857142857141,0.580952380952381
all_lower_only,0.2,0.6,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,0.4642857142857144,0.5238095238095238
all_lower_only,0.2,0.6,134561280,287183360,2.1342198885147345,9,0.9666666666666667,0.8888888888888888,0.9833333333333333,0.9444444444444445
